unnamed:_0,make,make_year,color,body_type,mileage_run,no_of_owners,seating_capacity,fuel_type,transmission,transmission_type,price
489,Renault,2020,white,muv,27215,1st,7,petrol,5-Speed,Manual,8903
490,Hyundai,2014,blue,hatchback,62692,2nd,5,petrol,5-Speed,Manual,5843
491,Hyundai,2020,grey,sedan,16234,1st,5,diesel,6-Speed,Manual,17638
492,Hyundai,2018,grey,hatchback,39742,1st,5,petrol,5-Speed,Automatic,8325
493,Maruti Suzuki,2017,grey,hatchback,27876,1st,5,petrol,5-Speed,Manual,5551
494,Hyundai,2017,red,hatchback,51511,1st,5,diesel,6-Speed,Manual,9493
495,Maruti Suzuki,2012,black,hatchback,82049,1st,5,diesel,5-Speed,Manual,4955
496,Maruti Suzuki,2018,blue,sedan,16257,1st,5,petrol,5-Speed,Automatic,8186
497,Mahindra,2020,white,suv,39894,1st,5,diesel,6-Speed,Manual,13846
498,Maruti Suzuki,2018,grey,muv,24630,1st,5,petrol,5-Speed,Manual,4901
499,Maruti Suzuki,2013,red,hatchback,74834,1st,5,petrol,5-Speed,Manual,3263
500,Maruti Suzuki,2011,black,hatchback,54857,2nd,5,petrol,5-Speed,Manual,2840
501,Maruti Suzuki,2013,red,hatchback,59394,1st,5,petrol,5-Speed,Manual,3339
502,Maruti Suzuki,2020,white,sedan,8617,1st,5,petrol,5-Speed,Manual,11092
503,Ford,2018,red,crossover,29028,1st,5,petrol,5-Speed,Automatic,7650
504,Maruti Suzuki,2020,grey,sedan,4878,1st,5,petrol,5-Speed,Manual,11006
505,Maruti Suzuki,2011,silver,hatchback,82262,2nd,5,petrol,5-Speed,Manual,2765
506,Maruti Suzuki,2011,red,hatchback,56696,1st,5,petrol,5-Speed,Manual,4293
507,Hyundai,2016,red,suv,40249,1st,5,petrol,6-Speed,Manual,12180
508,Hyundai,2015,red,hatchback,29169,1st,5,petrol,5-Speed,Manual,7963
509,Maruti Suzuki,2014,red,hatchback,48449,1st,5,petrol,5-Speed,Manual,4879
510,Volkswagen,2011,red,hatchback,55512,1st,5,petrol,5-Speed,Manual,5240
511,Hyundai,2014,white,sedan,81335,2nd,5,diesel,4-Speed,Manual,9301
512,Maruti Suzuki,2015,silver,hatchback,25388,1st,5,petrol,5-Speed,Manual,3589
513,Renault,2021,white,suv,17120,1st,5,petrol,5-Speed,Automatic,10000
514,Renault,2021,silver,hatchback,25170,1st,5,petrol,5-Speed,Automatic,5843
515,Maruti Suzuki,2014,brown,hatchback,67154,2nd,5,petrol,5-Speed,Manual,4391
516,Maruti Suzuki,2012,grey,hatchback,40078,1st,5,petrol,5-Speed,Manual,3762
517,Maruti Suzuki,2017,grey,hatchback,10100,1st,5,petrol,5-Speed,Manual,4001
518,Hyundai,2018,red,hatchback,23326,1st,5,petrol,5-Speed,Automatic,9253
519,Honda,2016,red,hatchback,56762,1st,5,petrol,5-Speed,Automatic,6963
520,Maruti Suzuki,2021,white,hatchback,6363,1st,5,petrol,5-Speed,Manual,4521
521,Maruti Suzuki,2012,blue,hatchback,49799,1st,5,petrol,5-Speed,Manual,3784
522,Honda,2016,white,hatchback,94873,1st,5,petrol,5-Speed,Automatic,6939
523,Ford,2016,blue,suv,69414,1st,5,petrol,5-Speed,Manual,7578
524,Hyundai,2014,red,hatchback,40450,1st,5,petrol,5-Speed,Manual,5096
525,Ford,2014,white,suv,86120,1st,5,diesel,5-Speed,Manual,7746
526,Hyundai,2018,red,hatchback,29948,1st,5,petrol,5-Speed,Automatic,8879
527,Renault,2019,grey,hatchback,22356,1st,5,petrol,5-Speed,Manual,5120
528,Hyundai,2011,grey,hatchback,77554,1st,5,petrol,5-Speed,Manual,3975
529,Kia,2020,red,suv,18499,1st,5,petrol,6-Speed,Manual,16493
530,Maruti Suzuki,2019,grey,muv,27462,1st,5,petrol,5-Speed,Manual,4727
531,Honda,2019,red,suv,53948,1st,5,petrol,5-Speed,Manual,10638
532,Kia,2020,red,suv,20280,1st,5,petrol,6-Speed,Manual,19397
533,Hyundai,2011,white,sedan,75713,2nd,5,petrol,5-Speed,Automatic,4819
534,Maruti Suzuki,2019,grey,hatchback,35607,1st,5,petrol,5-Speed,Manual,4651
535,Maruti Suzuki,2017,silver,muv,75728,1st,5,petrol,5-Speed,Manual,4424
536,Hyundai,2015,white,hatchback,26176,2nd,5,petrol,5-Speed,Manual,4915
537,Maruti Suzuki,2018,blue,sedan,19949,1st,5,petrol,5-Speed,Automatic,8013
538,Renault,2015,red,suv,59680,1st,5,diesel,5-Speed,Manual,9084
539,Renault,2015,red,suv,59680,1st,5,diesel,5-Speed,Manual,9084
540,Renault,2015,red,suv,59680,1st,5,diesel,5-Speed,Manual,9084
541,Renault,2015,red,suv,59680,1st,5,diesel,5-Speed,Manual,9084
542,Hyundai,2014,white,sedan,68363,1st,5,petrol,5-Speed,Manual,5554
543,Renault,2020,red,muv,12256,1st,7,petrol,5-Speed,Automatic,8819
544,Renault,2019,orange,muv,16554,1st,7,petrol,5-Speed,Manual,8445
545,Hyundai,2015,silver,hatchback,38156,2nd,5,petrol,5-Speed,Manual,4891
546,Maruti Suzuki,2012,white,hatchback,66016,1st,5,petrol,5-Speed,Manual,2938
547,Hyundai,2013,blue,hatchback,24862,1st,5,petrol,5-Speed,Manual,3530
548,Toyota,2012,silver,sedan,67312,2nd,5,petrol,5-Speed,Manual,4877
549,Hyundai,2013,red,hatchback,68842,1st,5,petrol,5-Speed,Manual,5385
550,Honda,2018,brown,suv,48924,1st,5,diesel,6-Speed,Manual,10987
551,Maruti Suzuki,2011,grey,sedan,71460,1st,5,petrol,5-Speed,Manual,4196
552,Renault,2019,red,hatchback,33661,1st,5,petrol,5-Speed,Manual,5397
553,Toyota,2020,white,sedan,33394,2nd,5,petrol,5-Speed,Manual,13928
554,Toyota,2020,white,sedan,33394,2nd,5,petrol,5-Speed,Manual,13928
555,Toyota,2020,white,sedan,33394,2nd,5,petrol,5-Speed,Manual,13928
556,Toyota,2020,white,sedan,33394,2nd,5,petrol,5-Speed,Manual,13928
557,Toyota,2019,brown,sedan,9242,1st,5,petrol,6-Speed,Manual,12113
558,Toyota,2019,brown,sedan,9242,1st,5,petrol,6-Speed,Manual,12113
559,Toyota,2019,brown,sedan,9242,1st,5,petrol,6-Speed,Manual,12113
560,Toyota,2019,brown,sedan,9242,1st,5,petrol,6-Speed,Manual,12113
561,Hyundai,2014,white,sedan,88267,1st,5,petrol,5-Speed,Automatic,7204
562,MG Motors,2020,silver,suv,13185,1st,5,diesel,5-Speed,Manual,24146
563,MG Motors,2020,silver,suv,13185,1st,5,diesel,5-Speed,Manual,24146
564,MG Motors,2020,silver,suv,13185,1st,5,diesel,6-Speed,Manual,24146
565,MG Motors,2020,silver,suv,13185,1st,5,diesel,6-Speed,Manual,24146
566,Kia,2020,white,suv,25450,1st,5,petrol,6-Speed,Manual,19144
567,Toyota,2020,white,sedan,37283,2nd,5,petrol,5-Speed,Manual,13610
568,Toyota,2020,white,sedan,37283,2nd,5,petrol,5-Speed,Manual,13610
569,Toyota,2020,white,sedan,37283,2nd,5,petrol,5-Speed,Manual,13610
570,Toyota,2020,white,sedan,37283,2nd,5,petrol,5-Speed,Manual,13610
571,Maruti Suzuki,2019,blue,sedan,41804,1st,5,petrol,5-Speed,Manual,9357
572,Maruti Suzuki,2011,red,hatchback,72631,1st,5,petrol,5-Speed,Manual,3415
573,Renault,2019,grey,hatchback,37865,1st,5,petrol,5-Speed,Manual,5216
574,Hyundai,2014,white,hatchback,72514,1st,5,petrol,5-Speed,Manual,5469
575,Renault,2021,silver,suv,21304,1st,5,petrol,5-Speed,Automatic,9722
576,Maruti Suzuki,2021,red,hatchback,7881,1st,5,petrol,5-Speed,Manual,7959
577,Mahindra,2016,black,suv,54656,1st,7,diesel,5-Speed,Manual,11428
578,Maruti Suzuki,2014,grey,hatchback,39400,1st,5,petrol,5-Speed,Automatic,4868
579,Skoda,2012,silver,sedan,52326,1st,5,petrol,6-Speed,Automatic,7130
580,Hyundai,2018,brown,crossover,24310,1st,5,petrol,5-Speed,Automatic,10638
581,Hyundai,2017,silver,hatchback,25966,1st,5,petrol,5-Speed,Automatic,6554
582,Honda,2011,black,sedan,90745,1st,5,petrol,5-Speed,Automatic,5843
583,Hyundai,2019,blue,suv,21628,1st,5,petrol,6-Speed,Manual,11987
584,Renault,2020,blue,muv,43164,1st,7,petrol,5-Speed,Automatic,9060
585,Maruti Suzuki,2011,black,hatchback,16061,2nd,5,petrol,5-Speed,Manual,2884
586,Hyundai,2015,blue,sedan,65025,1st,5,petrol,4-Speed,Automatic,6638
587,Hyundai,2014,black,hatchback,26974,1st,5,petrol,5-Speed,Manual,5746
588,Maruti Suzuki,2013,beige,sedan,23778,1st,5,petrol,5-Speed,Manual,5671
589,Hyundai,2020,black,sedan,7594,1st,5,petrol,5-Speed,Automatic,17132
590,Maruti Suzuki,2020,blue,hatchback,21075,1st,5,petrol,5-Speed,Manual,4662
591,Toyota,2020,brown,sedan,7122,1st,5,petrol,6-Speed,Manual,11848
592,Toyota,2020,brown,sedan,7122,1st,5,petrol,6-Speed,Manual,11848
593,Toyota,2020,brown,sedan,7122,1st,5,petrol,6-Speed,Manual,11848
594,Toyota,2020,brown,sedan,7122,1st,5,petrol,6-Speed,Manual,11848
595,MG Motors,2019,red,suv,25219,1st,5,petrol,6-Speed,Automatic,22530
596,Mahindra,2015,blue,suv,94751,2nd,7,diesel,5-Speed,Manual,9910
597,Maruti Suzuki,2020,blue,sedan,26246,1st,5,petrol,5-Speed,Manual,10528
598,Maruti Suzuki,2015,brown,sedan,93570,2nd,5,petrol,4-Speed,Automatic,6430
599,Maruti Suzuki,2014,white,sedan,70563,2nd,5,petrol,4-Speed,Automatic,5410
600,Ford,2020,golden,crossover,14965,1st,5,petrol,5-Speed,Automatic,8771
601,Renault,2015,bronze,hatchback,33390,1st,5,petrol,5-Speed,Manual,3457
602,Maruti Suzuki,2011,brown,hatchback,53349,1st,5,petrol,5-Speed,Manual,4044
603,Maruti Suzuki,2014,silver,hatchback,87635,1st,5,petrol,5-Speed,Automatic,4380
604,Maruti Suzuki,2011,grey,hatchback,77919,1st,5,petrol,5-Speed,Manual,3448
605,Ford,2017,white,suv,84118,1st,5,petrol,6-Speed,Automatic,8759
606,Hyundai,2018,white,hatchback,22735,1st,5,petrol,5-Speed,Manual,5385
607,Hyundai,2017,black,suv,50749,1st,5,diesel,6-Speed,Manual,13855
608,Honda,2015,red,muv,45754,2nd,7,petrol,5-Speed,Manual,7289
609,Mahindra,2015,white,suv,72696,1st,7,diesel,6-Speed,Automatic,12112
610,Hyundai,2015,orange,hatchback,99001,1st,5,petrol,4-Speed,Automatic,6096
611,Hyundai,2017,blue,hatchback,85933,1st,5,petrol,5-Speed,Manual,7349
612,Datsun,2014,red,hatchback,55890,2nd,5,petrol,5-Speed,Manual,3144
613,Volkswagen,2013,black,sedan,88105,1st,5,petrol,6-Speed,Automatic,6530
614,MG Motors,2019,black,suv,20761,1st,5,petrol,6-Speed,Automatic,22795
615,Maruti Suzuki,2016,white,hatchback,56280,1st,5,petrol,5-Speed,Manual,5671
616,Honda,2017,grey,suv,37043,1st,5,petrol,5-Speed,Manual,8975
617,Mahindra,2015,white,suv,79576,1st,7,diesel,6-Speed,Automatic,11407
618,Hyundai,2017,white,sedan,29759,1st,5,petrol,5-Speed,Manual,10289
619,Ford,2017,red,suv,28559,1st,5,petrol,5-Speed,Manual,9493
620,Maruti Suzuki,2013,white,hatchback,18214,1st,5,petrol,5-Speed,Manual,4987
621,Hyundai,2015,white,hatchback,92256,1st,5,diesel,6-Speed,Manual,8301
622,Honda,2015,silver,muv,42933,2nd,7,petrol,5-Speed,Manual,7686
623,Hyundai,2020,blue,sedan,18146,1st,5,petrol,5-Speed,Automatic,17566
624,Hyundai,2016,red,hatchback,29602,1st,5,diesel,6-Speed,Manual,9807
625,MG Motors,2020,silver,suv,26994,1st,5,petrol,6-Speed,Automatic,23510
626,Maruti Suzuki,2013,white,hatchback,47642,2nd,5,petrol,5-Speed,Manual,4933
627,Maruti Suzuki,2012,red,hatchback,67041,1st,5,petrol,5-Speed,Manual,3404
628,MG Motors,2020,red,suv,30234,1st,5,diesel,5-Speed,Manual,26757
629,MG Motors,2020,red,suv,30234,1st,5,diesel,5-Speed,Manual,26757
630,MG Motors,2020,red,suv,30234,1st,5,diesel,6-Speed,Manual,26757
631,MG Motors,2020,red,suv,30234,1st,5,diesel,6-Speed,Manual,26757
632,Hyundai,2017,white,hatchback,33545,1st,5,diesel,6-Speed,Manual,10554
633,Toyota,2012,silver,hatchback,42200,2nd,5,petrol,5-Speed,Automatic,5606
634,Toyota,2012,silver,hatchback,42200,2nd,5,petrol,5-Speed,Automatic,5606
635,Toyota,2012,silver,hatchback,42200,2nd,5,petrol,5-Speed,Manual,5606
636,Toyota,2012,silver,hatchback,42200,2nd,5,petrol,5-Speed,Manual,5606
637,Hyundai,2017,white,sedan,48583,1st,5,petrol,6-Speed,Automatic,13253
638,Hyundai,2014,grey,hatchback,98109,1st,5,petrol,5-Speed,Manual,4951
639,Hyundai,2011,red,hatchback,70581,2nd,5,petrol,5-Speed,Manual,4096
640,Maruti Suzuki,2018,red,hatchback,64194,1st,5,petrol,5-Speed,Manual,4391
641,Renault,2015,white,suv,87057,1st,5,diesel,5-Speed,Manual,8891
642,Hyundai,2012,white,hatchback,23227,1st,5,petrol,5-Speed,Manual,4397
643,MG Motors,2019,black,suv,24564,1st,5,petrol,6-Speed,Automatic,22530
644,Maruti Suzuki,2012,red,hatchback,39719,1st,5,petrol,5-Speed,Manual,4575
645,MG Motors,2020,white,suv,51686,1st,5,diesel,5-Speed,Manual,25949
646,MG Motors,2020,white,suv,51686,1st,5,diesel,5-Speed,Manual,25949
647,MG Motors,2020,white,suv,51686,1st,5,diesel,6-Speed,Manual,25949
648,MG Motors,2020,white,suv,51686,1st,5,diesel,6-Speed,Manual,25949
649,Renault,2018,bronze,suv,57995,1st,5,diesel,6-Speed,Manual,12277
650,MG Motors,2020,red,suv,32604,1st,5,diesel,5-Speed,Manual,26214
651,MG Motors,2020,red,suv,32604,1st,5,diesel,5-Speed,Manual,26214
652,MG Motors,2020,red,suv,32604,1st,5,diesel,6-Speed,Manual,26214
653,MG Motors,2020,red,suv,32604,1st,5,diesel,6-Speed,Manual,26214
654,Maruti Suzuki,2012,silver,hatchback,46627,1st,5,petrol,5-Speed,Manual,4467
655,Honda,2017,grey,sedan,45868,1st,5,petrol,5-Speed,Manual,10578
656,Maruti Suzuki,2013,brown,hatchback,68876,1st,5,petrol,5-Speed,Manual,4651
657,Ford,2013,white,suv,47068,1st,5,petrol,6-Speed,Automatic,8530
658,Ford,2014,white,suv,48060,1st,5,petrol,5-Speed,Manual,8168
659,Maruti Suzuki,2016,orange,hatchback,80307,2nd,5,petrol,5-Speed,Manual,3534
660,Maruti Suzuki,2013,red,hatchback,29217,1st,5,petrol,5-Speed,Manual,3643
661,MG Motors,2019,black,suv,28787,1st,5,petrol,6-Speed,Automatic,21059
662,Maruti Suzuki,2014,silver,muv,57964,2nd,8,petrol,4-Speed,Manual,3632
663,Maruti Suzuki,2011,grey,hatchback,54318,2nd,5,petrol,5-Speed,Manual,3990
664,Hyundai,2014,grey,hatchback,55319,1st,5,petrol,5-Speed,Manual,5289
665,Ford,2018,silver,suv,39105,1st,5,petrol,6-Speed,Automatic,12843
666,MG Motors,2021,white,suv,49279,1st,5,diesel,5-Speed,Manual,26293
667,MG Motors,2021,white,suv,49279,1st,5,diesel,5-Speed,Manual,26293
668,MG Motors,2021,white,suv,49279,1st,5,diesel,6-Speed,Manual,26293
669,MG Motors,2021,white,suv,49279,1st,5,diesel,6-Speed,Manual,26293
670,Hyundai,2011,maroon,hatchback,57259,2nd,5,petrol,5-Speed,Manual,3951
671,Mahindra,2015,silver,suv,66820,2nd,7,diesel,6-Speed,Manual,11439
672,Ford,2018,blue,sedan,21089,1st,5,petrol,5-Speed,Manual,6686
673,Maruti Suzuki,2014,blue,hatchback,7779,1st,5,petrol,5-Speed,Automatic,4706
674,Hyundai,2011,red,hatchback,48267,2nd,5,petrol,4-Speed,Automatic,4192
675,Maruti Suzuki,2014,grey,hatchback,48079,1st,5,diesel,5-Speed,Manual,6028
676,Hyundai,2014,orange,hatchback,42290,1st,5,petrol,5-Speed,Manual,5385
677,Volkswagen,2014,blue,hatchback,54723,1st,5,diesel,5-Speed,Automatic,6855
678,Renault,2019,white,hatchback,23160,1st,5,petrol,5-Speed,Automatic,5156
679,Hyundai,2012,white,hatchback,41191,1st,5,petrol,5-Speed,Manual,5481
680,Renault,2018,grey,suv,18005,1st,5,diesel,6-Speed,Manual,14024
681,Honda,2017,white,sedan,34480,1st,5,petrol,5-Speed,Automatic,14192
682,Honda,2019,brown,sedan,20604,1st,5,petrol,5-Speed,Manual,9216
683,Renault,2021,grey,suv,9015,1st,5,petrol,5-Speed,Automatic,10662
684,Hyundai,2016,red,hatchback,56348,1st,5,petrol,5-Speed,Manual,7927
685,Honda,2018,brown,sedan,16006,1st,5,petrol,5-Speed,Automatic,14939
686,Hyundai,2018,white,hatchback,27617,1st,5,petrol,5-Speed,Automatic,9060
687,Maruti Suzuki,2019,grey,hatchback,17246,1st,5,petrol,5-Speed,Manual,9422
688,Maruti Suzuki,2019,grey,hatchback,17246,1st,5,petrol,5-Speed,Manual,9422
689,Maruti Suzuki,2019,grey,hatchback,17246,1st,5,petrol,5-Speed,Manual,9422
690,Maruti Suzuki,2019,grey,hatchback,17246,1st,5,petrol,5-Speed,Manual,9422
691,Ford,2017,brown,suv,73428,1st,5,petrol,6-Speed,Automatic,10036
692,Hyundai,2018,brown,sedan,25198,1st,5,petrol,6-Speed,Automatic,14108
693,Honda,2020,white,sedan,7981,1st,5,petrol,5-Speed,Manual,10120
694,Hyundai,2016,white,crossover,65232,2nd,5,diesel,6-Speed,Automatic,8506
695,Chevrolet,2013,grey,hatchback,52501,1st,5,petrol,5-Speed,Manual,2960
696,Hyundai,2015,grey,hatchback,91933,1st,5,petrol,5-Speed,Manual,7265
697,Hyundai,2017,silver,hatchback,39437,1st,5,petrol,5-Speed,Automatic,6277
698,Maruti Suzuki,2018,white,sedan,50664,1st,5,diesel,5-Speed,Automatic,8284
699,Mahindra,2015,white,suv,60985,1st,7,diesel,6-Speed,Manual,13727
700,Hyundai,2020,blue,suv,37005,1st,5,petrol,6-Speed,Manual,12409
701,Maruti Suzuki,2015,white,hatchback,23217,1st,5,petrol,5-Speed,Automatic,5540
702,Maruti Suzuki,2017,grey,hatchback,46289,2nd,5,petrol,5-Speed,Manual,4218
703,Renault,2018,red,suv,23783,1st,5,diesel,6-Speed,Manual,13698
704,Honda,2014,brown,sedan,55410,2nd,5,petrol,5-Speed,Manual,6783
705,Hyundai,2014,blue,sedan,38147,1st,5,petrol,5-Speed,Manual,5602
706,Kia,2019,white,suv,23801,1st,5,petrol,7-Speed,Manual,20578
707,Maruti Suzuki,2018,blue,hatchback,16123,1st,5,petrol,5-Speed,Manual,8143
708,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Automatic,3318
709,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Automatic,3318
710,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Manual,3318
711,Maruti Suzuki,2013,purple,hatchback,22801,1st,5,petrol,5-Speed,Manual,3318
712,Maruti Suzuki,2018,blue,hatchback,16373,1st,5,petrol,5-Speed,Manual,8360
713,Maruti Suzuki,2016,red,sedan,31207,1st,5,petrol,4-Speed,Automatic,8924
714,Ford,2019,white,suv,60197,1st,5,petrol,6-Speed,Automatic,11807
715,Honda,2013,red,sedan,73382,1st,5,petrol,5-Speed,Manual,6879
716,Maruti Suzuki,2016,blue,hatchback,62811,1st,5,petrol,5-Speed,Manual,6657
717,Hyundai,2018,silver,crossover,29086,1st,5,petrol,5-Speed,Automatic,10156
718,Renault,2018,red,hatchback,12582,1st,5,petrol,5-Speed,Manual,4939
719,Hyundai,2017,white,hatchback,40158,1st,5,petrol,5-Speed,Manual,5144
720,Hyundai,2013,bronze,hatchback,50665,1st,5,petrol,5-Speed,Manual,5831
721,Hyundai,2013,white,sedan,42283,1st,5,petrol,5-Speed,Automatic,7493
722,Maruti Suzuki,2017,silver,hatchback,79767,1st,5,petrol,5-Speed,Automatic,4586
723,Maruti Suzuki,2018,blue,sedan,48524,1st,5,petrol,5-Speed,Manual,8804
724,Maruti Suzuki,2021,silver,hatchback,4704,1st,5,petrol,5-Speed,Manual,5953
725,Maruti Suzuki,2016,red,hatchback,44272,1st,5,petrol,5-Speed,Automatic,5692
726,Hyundai,2018,grey,sedan,14197,1st,5,petrol,5-Speed,Manual,8542
727,Hyundai,2017,blue,hatchback,57359,1st,5,petrol,5-Speed,Manual,8963
728,Honda,2019,brown,sedan,13791,1st,5,petrol,5-Speed,Manual,11831
729,Maruti Suzuki,2016,yellow,suv,76060,1st,5,diesel,5-Speed,Automatic,9553
730,Tata,2021,white,hatchback,5389,1st,5,petrol,5-Speed,Manual,9043
731,Mahindra,2015,black,suv,64338,1st,7,diesel,5-Speed,Manual,9932
732,Honda,2019,brown,sedan,17691,1st,5,petrol,5-Speed,Manual,10602
733,Tata,2022,white,suv,19734,1st,5,petrol,5-Speed,Automatic,9444
